InstrumentCode,InstrumentName,post_name,guid,post_date,category,post_status,post_status.1,Year,raw_category,document_type,classification_status,Migrate,Naming Convention,Folder_Name
RJR,RADIO JAMAICA LIMITED,signed-minutes-of-1834-scheme-of-arrangement-meeting-held-on-aug-10-2022,https://www.jamstockex.com/wp-content/uploads/2022/11/Signed-Minutes-of-1834-Scheme-of-Arrangement-Meeting-held-on-Aug.-10-2022.pdf,30/11/2022 12:47,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Acquisitions,Articles",inherit,publish,2022,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
RJR,RADIO JAMAICA LIMITED,202310311504517861-2,https://www.jamstockex.com/wp-content/uploads/2023/10/202310311504517861-1.pdf,31/10/2023 15:15,"Articles,Appointments",inherit,publish,2023,,director_appointments_resignations_and_retirements,pending,Yes,company_name - symbol  - director_appointments_resignations_and_retirements - Posting Date,director_appointments_resignations_and_retirements_new
RJR,RADIO JAMAICA LIMITED,202310311504517861-2,https://www.jamstockex.com/wp-content/uploads/2023/10/202310311504517861-1.pdf,31/10/2023 15:15,"Articles,Appointments",inherit,publish,2023,,management_appointments_resignations_and_retirements,pending,Yes,company_name - symbol   - management_appointments_resignations_and_retirements - Posting Date,management_appointments_resignations_and_retirements_new
SELECTMD,SAGICOR SELECT FUNDS LIMITED MANUFACTURING & DISTRIBUTION,sagicor-select-funds-limited-selectf-notice-of-annual-general-meeting-2,https://www.jamstockex.com/wp-content/uploads/2020/07/Sagicor-Select-Funds-Limited-SELECTF-Notice-of-Annual-General-Meeting.pdf,22/7/2020 15:34,Articles,inherit,draft,2020,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
SELECTF,SAGICOR SELECT FUNDS LIMITED - FINANCIAL,sagicor-select-funds-limited-selectf-notice-of-annual-general-meeting-2,https://www.jamstockex.com/wp-content/uploads/2020/07/Sagicor-Select-Funds-Limited-SELECTF-Notice-of-Annual-General-Meeting.pdf,22/7/2020 15:34,Articles,inherit,draft,2020,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
SELECTMD,SAGICOR SELECT FUNDS LIMITED MANUFACTURING & DISTRIBUTION,sagicor-select-funds-limited-select-notice-of-annual-general-meeting-2,https://www.jamstockex.com/wp-content/uploads/2021/06/Sagicor-Select-Funds-Limited-SELECT-Notice-of-Annual-General-Meeting.pdf,15/6/2021 13:39,Articles,inherit,publish,2021,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
SELECTF,SAGICOR SELECT FUNDS LIMITED - FINANCIAL,sagicor-select-funds-limited-select-notice-of-annual-general-meeting-2,https://www.jamstockex.com/wp-content/uploads/2021/06/Sagicor-Select-Funds-Limited-SELECT-Notice-of-Annual-General-Meeting.pdf,15/6/2021 13:39,Articles,inherit,publish,2021,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
SELECTMD,SAGICOR SELECT FUNDS LIMITED MANUFACTURING & DISTRIBUTION,sagicor-select-funds-limited-notice-of-annual-general-meeting,https://www.jamstockex.com/wp-content/uploads/2022/05/Sagicor-Select-Funds-Limited-Notice-of-Annual-General-Meeting.pdf,2/5/2022 10:31,agm,inherit,publish,2022,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
SELECTF,SAGICOR SELECT FUNDS LIMITED - FINANCIAL,sagicor-select-funds-limited-notice-of-annual-general-meeting,https://www.jamstockex.com/wp-content/uploads/2022/05/Sagicor-Select-Funds-Limited-Notice-of-Annual-General-Meeting.pdf,2/5/2022 10:31,agm,inherit,publish,2022,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
SELECTMD,SAGICOR SELECT FUNDS LIMITED MANUFACTURING & DISTRIBUTION,sagicor-select-funds-limited-notice-of-annual-general-meeting-2,https://www.jamstockex.com/wp-content/uploads/2023/05/Sagicor-Select-Funds-Limited-Notice-of-Annual-General-Meeting.pdf,2/5/2023 14:45,"agm,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Other Company News",inherit,publish,2023,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
SELECTF,SAGICOR SELECT FUNDS LIMITED - FINANCIAL,sagicor-select-funds-limited-notice-of-annual-general-meeting-2,https://www.jamstockex.com/wp-content/uploads/2023/05/Sagicor-Select-Funds-Limited-Notice-of-Annual-General-Meeting.pdf,2/5/2023 14:45,"agm,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Other Company News",inherit,publish,2023,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
SEP,SEPROD LIMITED,seprod-limited-press-release,https://www.jamstockex.com/wp-content/uploads/2025/05/Seprod-Limited-Press-Release.pdf,2/5/2025 16:23,"Acquisitions,Other Company News",inherit,publish,2025,,takeover_bids_and_scheme_of_arrangements,pending,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
SGJ,SCOTIA GROUP JAMAICA LIMITED,scotia-group-transfers-crediscotia-to-lasco-financial,https://www.jamstockex.com/wp-content/uploads/2017/11/Scotia-Group-Transfers-CrediScotia-to-LASCO-Financial-.pdf,14/11/2017 16:20,"Articles,Acquisitions",inherit,publish,2017,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
SGJ,SCOTIA GROUP JAMAICA LIMITED,press-release-supreme-courts-grants-approval-for-scotia-investments-to-convene-scheme-meeting,https://www.jamstockex.com/wp-content/uploads/2017/07/Press-Release-Supreme-Courts-Grants-Approval-for-Scotia-Investments-to-Convene-Scheme-Meeting.pdf,27/7/2017 8:56,"Articles,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2017,,takeover_bids_and_scheme_of_arrangements,pending,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
SGJ,SCOTIA GROUP JAMAICA LIMITED,sijl-notice-of-meeting-to-consider-scheme-of-arrangement,https://www.jamstockex.com/wp-content/uploads/2017/08/SIJL-Notice-of-Meeting-to-Consider-Scheme-of-Arrangement.pdf,4/8/2017 16:16,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Articles",inherit,publish,2017,,takeover_bids_and_scheme_of_arrangements,pending,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
SGJ,SCOTIA GROUP JAMAICA LIMITED,press-release-supreme-court-approves-scotia-investments-jamaica-limited-scheme-of-arrangement,https://www.jamstockex.com/wp-content/uploads/2017/10/PRESS-RELEASE-Supreme-Court-Approves-Scotia-Investments-Jamaica-Limited-Scheme-of-Arrangement.pdf,2/10/2017 9:01,"Articles,Other Company News",inherit,publish,2017,,takeover_bids_and_scheme_of_arrangements,pending,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
SJ,SAGICOR GROUP JAMAICA LIMITED,sagicor-group-acquisition-of-shares-in-recent-rights-issue,https://www.jamstockex.com/wp-content/uploads/2015/09/Sagicor-Group-acquisition-of-shares-in-recent-Rights-Issue.pdf,4/9/2015 12:20,Articles,inherit,publish,2015,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
SJ,SAGICOR GROUP JAMAICA LIMITED,news-release-richard-byles-to-be-appointed-chairman-of-sagicor-group-jamaica,https://www.jamstockex.com/wp-content/uploads/2017/03/News-Release-Richard-Byles-to-be-Appointed-Chairman-of-Sagicor-Group-Jamaica.pdf,21/3/2017 10:15,"Articles,Other Company News",inherit,publish,2017,,director_appointments_resignations_and_retirements,pending,Yes,company_name - symbol  - director_appointments_resignations_and_retirements - Posting Date,director_appointments_resignations_and_retirements_new
SJ,SAGICOR GROUP JAMAICA LIMITED,news-release-richard-byles-to-be-appointed-chairman-of-sagicor-group-jamaica,https://www.jamstockex.com/wp-content/uploads/2017/03/News-Release-Richard-Byles-to-be-Appointed-Chairman-of-Sagicor-Group-Jamaica.pdf,21/3/2017 10:15,"Articles,Other Company News",inherit,publish,2017,,management_appointments_resignations_and_retirements,pending,Yes,company_name - symbol   - management_appointments_resignations_and_retirements - Posting Date,management_appointments_resignations_and_retirements_new
